[2025-04-25 00:10:02.589] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":93}
[2025-04-25 00:10:02.589] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":93}
[2025-04-25 00:10:02.609] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":94}
[2025-04-25 00:10:02.610] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":94}
[2025-04-25 00:10:02.613] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":97}
[2025-04-25 00:10:02.613] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":97}
[2025-04-25 00:10:02.617] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":98}
[2025-04-25 00:10:02.617] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":98}
[2025-04-25 00:10:02.623] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":100}
[2025-04-25 00:10:02.624] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":100}
[2025-04-25 00:10:02.625] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6}
[2025-04-25 00:10:02.625] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6}
[2025-04-25 00:10:02.673] [info]  Splash.updateCountdownSeconds: undefined
[2025-04-25 00:10:03.075] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":2}
[2025-04-25 00:10:03.075] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":2}
[2025-04-25 00:10:03.080] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":3}
[2025-04-25 00:10:03.081] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":3}
[2025-04-25 00:10:03.081] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":4}
[2025-04-25 00:10:03.081] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":4}
[2025-04-25 00:10:03.083] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":5}
[2025-04-25 00:10:03.083] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":5}
[2025-04-25 00:10:03.085] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":7}
[2025-04-25 00:10:03.085] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":7}
[2025-04-25 00:10:03.096] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":10}
[2025-04-25 00:10:03.097] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":10}
[2025-04-25 00:10:03.103] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":13}
[2025-04-25 00:10:03.104] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":13}
[2025-04-25 00:10:03.106] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":14}
[2025-04-25 00:10:03.106] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":14}
[2025-04-25 00:10:03.115] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":17}
[2025-04-25 00:10:03.116] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":17}
[2025-04-25 00:10:03.116] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":18}
[2025-04-25 00:10:03.117] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":18}
[2025-04-25 00:10:03.126] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":21}
[2025-04-25 00:10:03.126] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":21}
[2025-04-25 00:10:03.127] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":22}
[2025-04-25 00:10:03.128] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":22}
[2025-04-25 00:10:03.134] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":25}
[2025-04-25 00:10:03.134] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":25}
[2025-04-25 00:10:03.134] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":26}
[2025-04-25 00:10:03.135] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":26}
[2025-04-25 00:10:03.136] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":27}
[2025-04-25 00:10:03.137] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":27}
[2025-04-25 00:10:03.148] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":30}
[2025-04-25 00:10:03.149] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":30}
[2025-04-25 00:10:03.153] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":31}
[2025-04-25 00:10:03.154] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":31}
[2025-04-25 00:10:03.159] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":32}
[2025-04-25 00:10:03.160] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":32}
[2025-04-25 00:10:03.162] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":34}
[2025-04-25 00:10:03.163] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":34}
[2025-04-25 00:10:03.174] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":37}
[2025-04-25 00:10:03.175] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":37}
[2025-04-25 00:10:03.175] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":38}
[2025-04-25 00:10:03.175] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":38}
[2025-04-25 00:10:03.183] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":41}
[2025-04-25 00:10:03.183] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":41}
[2025-04-25 00:10:03.184] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":42}
[2025-04-25 00:10:03.184] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":42}
[2025-04-25 00:10:03.186] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":44}
[2025-04-25 00:10:03.187] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":44}
[2025-04-25 00:10:03.199] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":46}
[2025-04-25 00:10:03.199] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":46}
[2025-04-25 00:10:03.205] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":47}
[2025-04-25 00:10:03.206] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":47}
[2025-04-25 00:10:03.209] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":48}
[2025-04-25 00:10:03.210] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":48}
[2025-04-25 00:10:03.224] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":49}
[2025-04-25 00:10:03.225] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":49}
[2025-04-25 00:10:03.229] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":50}
[2025-04-25 00:10:03.230] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":50}
[2025-04-25 00:10:03.232] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":52}
[2025-04-25 00:10:03.232] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":52}
[2025-04-25 00:10:03.241] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":55}
[2025-04-25 00:10:03.241] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":55}
[2025-04-25 00:10:03.253] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":58}
[2025-04-25 00:10:03.254] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":2,"total":6,"progress":58}
